path,label,pca_feature_1,pca_feature_2,pca_feature_3,pca_feature_4,pca_feature_5,pca_feature_6,pca_feature_7,pca_feature_8,pca_feature_9,pca_feature_10,pca_feature_11,pca_feature_12,pca_feature_13,pca_feature_14,pca_feature_15,pca_feature_16,pca_feature_17,pca_feature_18,pca_feature_19,pca_feature_20,pca_feature_21,pca_feature_22,pca_feature_23,pca_feature_24,pca_feature_25,pca_feature_26,pca_feature_27,pca_feature_28,pca_feature_29,pca_feature_30,pca_feature_31,pca_feature_32,pca_feature_33,pca_feature_34,pca_feature_35,pca_feature_36,pca_feature_37,pca_feature_38,pca_feature_39,pca_feature_40,pca_feature_41,pca_feature_42,pca_feature_43,pca_feature_44,pca_feature_45,pca_feature_46,pca_feature_47,pca_feature_48,pca_feature_49,pca_feature_50,pca_feature_51,pca_feature_52,pca_feature_53,pca_feature_54,pca_feature_55,pca_feature_56,pca_feature_57,pca_feature_58,pca_feature_59,pca_feature_60,pca_feature_61,pca_feature_62,pca_feature_63,pca_feature_64,pca_feature_65,pca_feature_66,pca_feature_67,pca_feature_68,pca_feature_69,pca_feature_70,pca_feature_71,pca_feature_72,pca_feature_73,pca_feature_74,pca_feature_75,pca_feature_76,pca_feature_77,pca_feature_78,pca_feature_79,pca_feature_80,pca_feature_81,pca_feature_82,pca_feature_83,pca_feature_84,pca_feature_85,pca_feature_86,pca_feature_87,pca_feature_88,pca_feature_89,pca_feature_90,pca_feature_91,pca_feature_92,pca_feature_93,pca_feature_94,pca_feature_95,pca_feature_96,pca_feature_97,pca_feature_98,pca_feature_99,pca_feature_100,pca_feature_101,pca_feature_102,pca_feature_103,pca_feature_104,pca_feature_105,pca_feature_106,pca_feature_107,pca_feature_108,pca_feature_109,pca_feature_110,pca_feature_111,pca_feature_112,pca_feature_113,pca_feature_114,pca_feature_115,pca_feature_116,pca_feature_117,pca_feature_118,pca_feature_119,pca_feature_120,pca_feature_121,pca_feature_122,pca_feature_123,pca_feature_124,pca_feature_125,pca_feature_126,pca_feature_127,pca_feature_128,pca_feature_129,pca_feature_130,pca_feature_131,pca_feature_132,pca_feature_133,pca_feature_134,pca_feature_135,pca_feature_136,pca_feature_137
s3://p8-data-cloud/Fruits_Cloud/Lime/262_100.jpg,Lime,-6.754482,1.6913179,-6.994117,-0.10847554,-7.9560347,2.034613,0.7011082,-5.303943,1.0243592,-5.678095,-5.579723,0.5087975,2.1227446,1.9312973,-2.5841796,-0.552569,-3.0906804,3.4033945,1.1150315,-1.197035,2.7503316,0.43657145,-0.2922604,1.974277,1.6959213,2.136459,-4.5170045,-2.3284721,-0.9322685,-0.3930785,0.29595646,-0.33159098,-0.6097786,-0.9405346,-1.0936066,1.5547869,0.6621914,2.3071845,-2.0884511,-0.9013478,1.770243,-2.2686636,0.26568562,0.32968998,1.8072662,-0.9378797,0.4450414,-1.6409874,0.5385207,-0.31296673,1.2670751,0.3872625,-1.4306281,-0.23098706,-0.90433097,-1.0035591,-0.9049401,-1.7651362,1.3370528,-0.20886756,-0.49388272,-0.5586028,0.3067093,-0.6310777,1.2961199,-0.65815455,-0.5707171,0.33501804,0.18965435,1.2426534,0.23121339,-0.06848967,-1.7299957,-2.6016152,-1.7367611,-0.5779804,-1.84267,0.67733353,0.7305891,2.0604777,-0.8434228,-1.6172042,1.1136421,-0.56316423,0.5539809,-0.30820116,0.65424377,-0.63501143,1.1863304,1.1439891,-0.5510495,-0.34577027,1.1419692,1.2060188,-1.2256615,-0.2352045,-0.55200493,1.0995326,0.45420042,0.2272305,0.2552994,-0.016436728,-0.10435948,-0.14282396,0.60613245,0.044416808,-0.08786162,0.019007713,0.32762975,-0.33262858,0.13360709,0.123631865,0.8853368,-0.11346302,0.117629714,-0.21752945,0.49077207,-0.22938958,0.3075054,0.31408548,-0.22172321,0.066234455,-0.5337924,0.010560614,0.17632207,-0.011455903,-0.34833056,0.5532639,0.22092372,-0.25739998,0.2581814,0.012481096,-0.0937753,0.15073425,-0.5051634,-0.12609865,-0.43324965
s3://p8-data-cloud/Fruits_Cloud/Pear/r_7_100.jpg,Pear,-7.7287297,3.235324,-11.676723,-0.0947821,0.12446126,6.8541646,3.5299246,0.43704304,-5.401372,-5.0084233,-6.7503724,-1.6801457,5.1482935,3.110908,0.6474373,0.39655071,-3.188918,3.6171417,2.4404395,-0.90829206,0.2810394,-1.1317102,-1.5898738,0.3816761,2.7148323,1.7327788,-3.406972,-1.1305394,-1.8036616,0.0365831,1.6535666,-2.0467262,0.14142582,0.021190215,-0.68836844,1.2185453,-0.16713138,0.87849504,-2.4035766,-0.031321455,1.3838959,-1.2678907,-0.2046285,0.22197299,1.7659117,0.15180065,-0.6599365,-0.7259905,1.4312359,1.2477225,-0.5659158,0.62201124,-0.41078123,0.020815257,-0.71415126,-2.3115082,-0.5385375,-2.1690931,-0.93774736,-0.7515437,-0.15122722,-0.7003499,1.908471,0.56409633,1.3362719,-0.97240764,0.38055748,0.9199806,-0.86414224,0.4559635,0.666556,-0.96716684,-0.8716395,-0.0025130415,-0.029520664,-0.89364535,-1.3876507,-0.9726708,-1.1168431,1.0748185,0.65770364,-2.5790884,1.2205291,-1.3756019,0.019284723,-1.3847957,0.66319126,0.053623043,1.0861382,0.06559875,-0.38362166,0.44552165,1.742401,1.156216,-1.0300162,0.28433922,-0.2682185,0.9712421,0.7138288,0.2272305,0.2552994,-0.016436728,-0.10435948,-0.14282396,0.60613245,0.044416808,-0.08786162,0.019007713,0.32762975,-0.33262858,0.13360709,0.123631865,0.8853368,-0.11346302,0.117629714,-0.21752945,0.49077207,-0.22938958,0.3075054,0.31408548,-0.22172321,0.066234455,-0.5337924,0.010560614,0.17632207,-0.011455903,-0.34833056,0.5532639,0.22092372,-0.25739998,0.2581814,0.012481096,-0.0937753,0.15073425,-0.5051634,-0.12609865,-0.43324965
s3://p8-data-cloud/Fruits_Cloud/Lime/r_52_100.jpg,Lime,-8.468909,1.7938887,-8.9465885,0.9497765,-4.2536845,0.834793,0.6329618,-3.4780624,0.7627795,-4.1373267,-3.6404443,1.3028836,5.647125,-0.36180103,-0.80923235,-1.2554016,-1.2309825,0.56887263,-0.69626194,-3.364696,1.3639936,-1.3623303,-1.4135628,-0.7662784,0.47814494,2.9790418,-4.439819,-0.6411608,-0.0010233521,3.1289475,2.5224283,1.1111709,1.0334619,0.78562236,-1.9619787,1.592789,0.14208406,1.4652176,-1.4326674,0.4611751,2.0064793,-1.0866694,-0.26979482,-0.3843994,1.1530672,-2.4762797,1.199291,-1.053702,1.1277487,2.2068586,1.1977757,-0.50746614,0.5464945,0.22571422,-0.40136126,-1.8072729,-1.1764838,-1.829185,0.15376984,-0.2761151,-1.7441853,-0.83983374,1.3858998,0.35816655,-0.1715566,-0.85287565,-0.8587647,0.5516722,-0.9754527,0.062161066,0.4733198,-1.1876569,0.09489155,-1.1405239,-0.05486936,-1.0609324,-0.51484364,-0.31461492,-0.8654031,1.6338543,-0.34641498,-1.5445101,1.115161,-1.3018334,0.24902597,-0.69531107,0.75377965,-0.27151865,2.2424946,1.1998276,0.2644138,-0.45150036,2.3459942,1.6970053,-1.8856016,-1.3172055,-0.8064247,0.79748416,0.9090153,0.2272305,0.2552994,-0.016436728,-0.10435948,-0.14282396,0.60613245,0.044416808,-0.08786162,0.019007713,0.32762975,-0.33262858,0.13360709,0.123631865,0.8853368,-0.11346302,0.117629714,-0.21752945,0.49077207,-0.22938958,0.3075054,0.31408548,-0.22172321,0.066234455,-0.5337924,0.010560614,0.17632207,-0.011455903,-0.34833056,0.5532639,0.22092372,-0.25739998,0.2581814,0.012481096,-0.0937753,0.15073425,-0.5051634,-0.12609865,-0.43324965
s3://p8-data-cloud/Fruits_Cloud/Apple Golden 2/r_9_100.jpg,Apple Golden 2,-7.4866633,-1.4561422,-7.9126353,5.1878214,4.021851,-0.5456216,4.070355,-1.1868593,-2.4635062,-2.530187,-2.9831672,-2.3219342,2.631162,-0.6031805,-5.955601,-1.9082084,-5.560589,-0.60197985,1.690625,0.27320233,3.2366297,0.70894074,-0.17613384,-1.0460362,1.3823494,1.4236339,-3.1654599,-2.3685865,-0.46297684,-0.08832084,0.56311595,-1.3667942,-0.49580395,-0.7131669,-0.5708329,0.47100666,-0.06600314,0.783608,-1.65028,-0.69893366,1.7059548,-1.4382432,-0.23221985,-0.4078548,0.8391435,-0.44344333,0.016706824,-1.1527373,1.1436602,0.774332,0.7946936,-0.3749713,-0.4572481,0.46127895,-0.11867259,-1.5503991,-0.5222371,-1.6870241,-0.41077408,-0.37541002,-0.9663463,-0.5750602,0.8618514,0.10797778,0.8942009,-0.6570963,0.45305946,0.3667233,-0.25703743,0.7048363,0.45982054,-1.2613183,-0.30375615,-0.28841984,-0.30488783,-0.78047043,-1.2428662,-0.5803718,-0.89926827,1.1917484,0.22313718,-1.5912616,0.648771,-1.3148005,0.029749384,-0.6134831,0.5539061,-0.68158257,1.9762268,1.2489446,-1.1988883,-0.46294898,1.1539309,2.077436,-1.6601416,-0.9513501,-0.06579373,0.23114063,-0.9371857,0.2272305,0.2552994,-0.016436728,-0.10435948,-0.14282396,0.60613245,0.044416808,-0.08786162,0.019007713,0.32762975,-0.33262858,0.13360709,0.123631865,0.8853368,-0.11346302,0.117629714,-0.21752945,0.49077207,-0.22938958,0.3075054,0.31408548,-0.22172321,0.066234455,-0.5337924,0.010560614,0.17632207,-0.011455903,-0.34833056,0.5532639,0.22092372,-0.25739998,0.2581814,0.012481096,-0.0937753,0.15073425,-0.5051634,-0.12609865,-0.43324965
s3://p8-data-cloud/Fruits_Cloud/Walnut/12_100.jpg,Walnut,6.6853433,3.577582,-12.337966,-6.595814,-2.847762,-1.5243948,0.39792272,2.2873316,-0.291989,-6.1996408,-2.6379404,-6.2481313,2.323075,-0.27317458,-2.6337686,-4.130955,-2.4692874,4.3326893,3.3312645,-1.8687164,1.8815624,-0.39079878,-2.6948953,0.25199577,0.1645403,1.5514975,-2.5375233,-1.5116978,-0.62600416,1.2379473,-0.027085926,-0.9320751,-0.19081855,-2.07277,-0.070421614,1.9692409,0.09631183,1.8737528,0.17793305,-1.4920791,-0.2211387,-0.40850145,0.08016779,-1.7323962,1.9621565,0.39702797,1.2757403,-1.8400875,1.8907249,1.1726269,0.5900559,1.2755861,-1.0216842,2.080587,0.4495092,-0.07897233,0.52360517,-2.1593277,-0.8836997,2.3960383,-1.3637707,-0.57251906,2.050535,-0.81191915,-0.10536671,-0.63807356,1.2571523,0.3817506,-0.8719713,0.17959355,0.30291632,-1.628523,-0.49262145,-0.5078248,-1.282641,-0.84013593,-0.24022663,-0.58798826,-0.56374985,2.0800939,-0.4813828,-1.7864048,0.861198,-1.1046942,-0.03932509,-0.4586702,0.45267236,-0.30739182,1.3288943,1.5287242,0.13145265,-0.36586222,1.295987,1.4562097,-1.252616,-0.39510477,-0.61308384,1.008815,0.52819306,0.2272305,0.2552994,-0.016436728,-0.10435948,-0.14282396,0.60613245,0.044416808,-0.08786162,0.019007713,0.32762975,-0.33262858,0.13360709,0.123631865,0.8853368,-0.11346302,0.117629714,-0.21752945,0.49077207,-0.22938958,0.3075054,0.31408548,-0.22172321,0.066234455,-0.5337924,0.010560614,0.17632207,-0.011455903,-0.34833056,0.5532639,0.22092372,-0.25739998,0.2581814,0.012481096,-0.0937753,0.15073425,-0.5051634,-0.12609865,-0.43324965
s3://p8-data-cloud/Fruits_Cloud/Apple Golden 2/r_69_100.jpg,Apple Golden 2,-6.987645,-1.3807595,-8.741984,4.895643,6.0124497,-2.3885567,2.9004126,2.0055325,-0.29794002,-2.9605293,-3.2661657,3.0770156,1.1455778,3.9386394,-1.9905986,-3.6520674,-2.323824,3.4555113,1.9757906,-1.2915614,2.8321269,0.3989675,-0.45752457,1.7369415,1.5993675,2.176344,-3.8860223,-2.1763575,-0.9172931,0.24371916,1.1009641,-0.7164736,0.086706474,-1.7685564,0.21041611,2.1890733,0.94740134,0.16336906,-1.2843857,-0.32432297,1.0237482,-1.3696638,-1.2607656,-0.53442186,0.9067706,-0.71751064,0.63752246,-0.98664093,-0.1504338,1.790836,-0.51062083,-0.84638625,0.62811285,0.4070666,2.0211,0.03464155,1.5807931,-3.1769028,0.080127835,-0.8397332,-1.7762419,-1.6394099,0.94611627,0.030641992,0.083016224,-0.42264876,0.018849593,-0.12436351,-0.09554111,0.81387407,-1.2294531,-0.81327343,-0.18573475,-1.3394749,-0.3245061,0.20514208,-0.90612704,0.30068114,-1.407499,0.2993647,0.34904248,-2.5491426,0.26978183,-0.21045773,1.2609637,-0.8385241,0.18275043,0.023919644,1.8568776,1.3174349,-0.32422173,-0.3370866,1.2047306,0.96466386,-1.544275,-0.28062296,-0.81124926,0.90814793,0.55325294,0.2272305,0.2552994,-0.016436728,-0.10435948,-0.14282396,0.60613245,0.044416808,-0.08786162,0.019007713,0.32762975,-0.33262858,0.13360709,0.123631865,0.8853368,-0.11346302,0.117629714,-0.21752945,0.49077207,-0.22938958,0.3075054,0.31408548,-0.22172321,0.066234455,-0.5337924,0.010560614,0.17632207,-0.011455903,-0.34833056,0.5532639,0.22092372,-0.25739998,0.2581814,0.012481096,-0.0937753,0.15073425,-0.5051634,-0.12609865,-0.43324965
s3://p8-data-cloud/Fruits_Cloud/Onion white/r_186_100.jpg,Onion white,11.310858,-4.019151,-12.630501,11.758133,-2.163997,11.535691,0.4553555,-3.6354475,-1.8349769,-2.7638159,-2.165656,-0.09552386,4.006166,-0.47436106,-3.8062167,0.49142754,-1.7408442,4.7558637,6.4513974,-4.739552,3.719183,2.078515,1.4533933,-0.82294726,0.07060406,1.3238902,-4.6146865,-0.45660284,-2.598524,0.5975133,2.8783002,-0.27699175,0.6201498,-0.29020712,0.07238518,0.20332032,0.5181942,0.99435955,-0.18683183,1.0768698,2.3388028,-2.7462986,-1.3358389,-0.870653,0.30579934,-1.1969451,-0.06333222,-0.6572735,-0.4695998,2.1325574,-0.27370352,0.54628474,-0.5849867,0.6366981,1.1185561,-0.95909894,-0.70211446,-2.0614247,-0.39395633,0.29038993,-1.0186497,-0.2584007,-0.019676665,-0.39789888,1.8448194,0.94959724,1.5592977,0.6715612,-0.85998005,-0.03456804,0.98716843,-1.9167172,-0.5612557,-1.1450912,0.07395548,-0.5781669,-1.142224,0.563808,-0.4087448,0.73890865,0.21892673,-1.1003575,1.0506632,-0.9969026,-0.020586492,-0.36731562,0.8967276,-0.34506282,1.4338486,1.4520024,-0.019959131,-0.29681033,1.2560384,1.4969443,-1.2726903,-0.34912756,-0.66903055,1.011291,0.4785766,0.2272305,0.2552994,-0.016436728,-0.10435948,-0.14282396,0.60613245,0.044416808,-0.08786162,0.019007713,0.32762975,-0.33262858,0.13360709,0.123631865,0.8853368,-0.11346302,0.117629714,-0.21752945,0.49077207,-0.22938958,0.3075054,0.31408548,-0.22172321,0.066234455,-0.5337924,0.010560614,0.17632207,-0.011455903,-0.34833056,0.5532639,0.22092372,-0.25739998,0.2581814,0.012481096,-0.0937753,0.15073425,-0.5051634,-0.12609865,-0.43324965
s3://p8-data-cloud/Fruits_Cloud/Pear/r_74_100.jpg,Pear,-8.705269,0.8236353,-11.503629,3.329162,1.5858425,4.972356,2.243671,-0.36477658,-6.4176855,-3.7335835,-4.040659,0.3873659,1.892965,0.42189834,-3.0934074,-2.0616245,-0.22740075,1.8520262,1.1016873,-4.2539744,2.3509798,-0.9556089,-2.9306705,1.9685602,-0.28533936,1.4070345,-5.5349736,-1.1196928,1.1693347,-1.3298317,-1.8207079,-2.8110905,-0.5548587,-1.9720461,-0.6064559,-0.074858926,-2.2613328,1.5692656,-0.49187946,-0.7952326,1.9340707,0.015942993,-0.43740854,0.08861897,-0.26904184,-2.2674015,0.4410978,-1.3156683,2.0618546,0.7264522,0.4809551,0.78521913,0.18821123,0.4278777,0.105745144,-0.6334743,-0.97118425,-0.6066295,-1.0922533,-0.6528263,-1.3244051,0.16329056,-0.08528625,0.7092953,0.7995352,-0.16761263,0.8098533,-0.051283266,-0.81030107,-1.5702513,-0.7186877,-0.6897168,-0.15586461,-1.0693142,-0.8837577,-0.8190712,-1.1405034,0.13841553,-0.41416687,0.65284747,-0.85789984,-2.8837283,1.9099947,-0.5033744,-0.2897346,-1.2766604,1.4151176,-0.40630135,1.8681258,1.576824,-0.31026977,-0.37501144,1.0932163,1.3737878,-1.366568,-0.36782375,-0.742624,0.8897762,0.47783777,0.2272305,0.2552994,-0.016436728,-0.10435948,-0.14282396,0.60613245,0.044416808,-0.08786162,0.019007713,0.32762975,-0.33262858,0.13360709,0.123631865,0.8853368,-0.11346302,0.117629714,-0.21752945,0.49077207,-0.22938958,0.3075054,0.31408548,-0.22172321,0.066234455,-0.5337924,0.010560614,0.17632207,-0.011455903,-0.34833056,0.5532639,0.22092372,-0.25739998,0.2581814,0.012481096,-0.0937753,0.15073425,-0.5051634,-0.12609865,-0.43324965
s3://p8-data-cloud/Fruits_Cloud/Onion white/r2_183_100.jpg,Onion white,7.2053337,-4.693978,-14.082622,11.445622,2.1991882,7.5178795,-1.3390421,-0.3673798,1.2885988,-5.2187304,-4.088574,0.55609095,2.88948,2.7945533,-3.260474,1.7249371,-3.9707375,0.88862693,-0.64559144,-0.61341447,2.0168898,0.9983397,-2.4566412,1.4265947,1.9927166,5.5023856,-1.1015135,-3.1747544,3.1071737,1.5503495,2.4181,-1.9980356,-3.421181,-2.6591375,0.59542274,4.4907007,-1.0971737,1.5929787,-1.0724318,-1.980314,1.8402194,-1.1448393,-1.2413259,-2.2270534,1.7044235,-0.24795106,-0.8637496,-1.5197091,-2.1301482,1.7800673,0.8365596,0.23957466,-0.52671605,0.11877214,-0.6983157,-1.2210243,-1.8919019,-1.2164528,-0.9639707,-0.41979885,-1.5465165,-0.77971697,0.8880985,-0.12277503,1.0382181,-0.8443912,0.2903315,-0.14960359,-0.71850353,-0.5634322,0.29573852,-0.94723237,-0.5164994,-0.722419,-0.0026739805,-0.40904972,-0.88101184,-0.3750936,-1.0413663,1.494616,-0.42130744,-1.679104,0.9611233,-0.6572538,-0.11304984,-0.5284443,0.65358096,-0.30598983,1.5975358,1.4510735,-0.005873447,-0.32601345,1.2186056,1.3309366,-1.2776989,-0.3084853,-0.5264921,0.9571168,0.51148075,0.2272305,0.2552994,-0.016436728,-0.10435948,-0.14282396,0.60613245,0.044416808,-0.08786162,0.019007713,0.32762975,-0.33262858,0.13360709,0.123631865,0.8853368,-0.11346302,0.117629714,-0.21752945,0.49077207,-0.22938958,0.3075054,0.31408548,-0.22172321,0.066234455,-0.5337924,0.010560614,0.17632207,-0.011455903,-0.34833056,0.5532639,0.22092372,-0.25739998,0.2581814,0.012481096,-0.0937753,0.15073425,-0.5051634,-0.12609865,-0.43324965
s3://p8-data-cloud/Fruits_Cloud/Tomato 1/9_100.jpg,Tomato 1,3.9748628,-14.197584,-4.1676826,-4.332058,1.2905173,2.6002824,5.738228,-2.3492343,-0.76538295,-5.890746,-3.788083,3.1120327,1.4751999,-0.18300685,-2.3954356,-0.17956075,-4.126663,1.6692674,1.2929964,-3.6079397,0.63646394,2.8919024,-6.3308825,-0.19309251,3.97714,2.0736587,-4.7490387,0.56069374,-1.0315036,-0.33085617,-1.4821857,-0.35220337,-0.6073732,-0.049252864,0.7810635,-0.085632026,1.339642,0.8631444,-1.858111,0.7507161,2.1167288,-1.93387,-0.01879059,0.35485825,1.8041506,-0.97769654,-0.58990854,-0.86198217,-0.556073,0.58362633,1.3947499,-1.4024853,0.09411845,0.4353859,-0.70079106,-0.23538217,-0.13818592,-0.9762179,0.32782763,-0.34808022,-1.0094585,-0.37338,1.2612374,-0.09137043,2.2288349,-1.3283308,1.1500757,1.0922823,-2.36092,0.4807147,-0.957847,-1.4637328,-0.051973708,-0.62529296,-1.0729463,-0.027942669,0.23716481,-0.7469801,-1.1457537,1.6661048,-0.18925528,-1.2976772,0.92664075,-0.6965565,0.03484607,-0.5636286,0.59222764,-0.18106402,1.7450688,1.3817322,-0.03450489,-0.5027459,1.1045474,1.5131454,-1.1666586,-0.30717382,-0.53177434,0.9260849,0.5155026,0.2272305,0.2552994,-0.016436728,-0.10435948,-0.14282396,0.60613245,0.044416808,-0.08786162,0.019007713,0.32762975,-0.33262858,0.13360709,0.123631865,0.8853368,-0.11346302,0.117629714,-0.21752945,0.49077207,-0.22938958,0.3075054,0.31408548,-0.22172321,0.066234455,-0.5337924,0.010560614,0.17632207,-0.011455903,-0.34833056,0.5532639,0.22092372,-0.25739998,0.2581814,0.012481096,-0.0937753,0.15073425,-0.5051634,-0.12609865,-0.43324965
